"biz_id","metadata_name","metadata_value","category_path","Label"
"90812","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"64413","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"37279","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"273840","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"121160","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"420199","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"37283","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"23565","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"604896","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"361368","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"180587","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"604691","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"418731","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"188298","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"404294","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"130590","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"284327","mcategory_ids","288","Businesses and Services > Printing, Copying and Signage","Printing, Copying and Signage"
"255795","mcategory_ids","287","Businesses and Services > Personal Care > Tattooing","Tattooing"
"61914","mcategory_ids","287","Businesses and Services > Personal Care > Tattooing","Tattooing"
"61913","mcategory_ids","287","Businesses and Services > Personal Care > Tattooing","Tattooing"
"604894","mcategory_ids","287","Businesses and Services > Personal Care > Tattooing","Tattooing"
"61912","mcategory_ids","287","Businesses and Services > Personal Care > Tattooing","Tattooing"
"281400","mcategory_ids","287","Businesses and Services > Personal Care > Tattooing","Tattooing"
"113058","mcategory_ids","287","Businesses and Services > Personal Care > Tattooing","Tattooing"
"532496","mcategory_ids","287","Businesses and Services > Personal Care > Tattooing","Tattooing"
"605009","mcategory_ids","287","Businesses and Services > Personal Care > Tattooing","Tattooing"
"265522","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
"167151","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
"361348","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
"358865","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
"150482","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
"291576","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
"37272","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
"222599","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
"114475","mcategory_ids","286","Businesses and Services > Personal Care > Tanning Salons","Tanning Salons"
